               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 105,             0.03646,            0.020754,           0.0062734,             0.75792,             0.48357,             0.53872,             0.30772,            0.063263,            0.013277,            0.024454,            0.007426,            0.007426,            0.007426
                 106,            0.034888,            0.020207,            0.006292,             0.60638,             0.44242,             0.48828,             0.27636,             0.06244,            0.012991,            0.026367,           0.0074013,           0.0074013,           0.0074013
                 107,            0.034275,            0.020559,            0.006312,             0.61719,             0.42348,             0.47192,              0.2552,            0.061572,             0.01386,            0.025311,           0.0073765,           0.0073765,           0.0073765
                 108,            0.034739,            0.019563,           0.0063074,             0.57412,             0.41539,             0.42457,              0.2241,            0.060777,              0.0143,            0.026309,           0.0073517,           0.0073517,           0.0073517
                 109,            0.035732,            0.020048,           0.0064612,             0.76733,             0.47277,             0.54981,             0.33257,            0.053803,            0.013092,            0.026192,            0.007327,            0.007327,            0.007327
                 110,            0.033922,            0.020009,           0.0059059,              0.5642,             0.46688,             0.49168,             0.28293,            0.054359,            0.014067,            0.026802,           0.0073023,           0.0073023,           0.0073023
                 111,            0.035527,            0.019841,           0.0057848,             0.57489,             0.40241,             0.44579,               0.248,             0.05941,            0.014907,            0.029059,           0.0072775,           0.0072775,           0.0072775
                 112,            0.035161,            0.019474,           0.0054378,              0.4622,             0.43265,             0.40212,             0.21827,            0.062322,            0.014478,            0.030229,           0.0072527,           0.0072527,           0.0072527
                 113,            0.034368,            0.019491,           0.0069821,              0.6434,             0.41151,             0.50571,             0.24359,            0.054825,            0.012916,             0.03255,            0.007228,            0.007228,            0.007228
                 114,            0.033982,              0.0193,           0.0060376,             0.59365,             0.42288,             0.46887,             0.24226,             0.06585,            0.013564,            0.027699,           0.0072033,           0.0072033,           0.0072033
                 115,            0.034568,             0.01962,            0.006591,             0.62515,             0.54006,             0.54928,             0.29835,            0.058526,            0.013238,            0.025871,           0.0071785,           0.0071785,           0.0071785
                 116,            0.033833,            0.019956,           0.0049073,             0.60999,             0.48541,             0.53613,             0.31201,            0.062332,            0.013643,             0.02438,           0.0071538,           0.0071538,           0.0071538
                 117,            0.033063,            0.019109,           0.0053153,             0.50309,             0.41865,             0.42732,             0.23843,             0.07153,            0.013741,            0.025727,            0.007129,            0.007129,            0.007129
                 118,            0.033048,            0.019175,           0.0046844,             0.66393,             0.45778,             0.52055,             0.29816,            0.064973,            0.013165,             0.02359,           0.0071042,           0.0071042,           0.0071042
